"","X","Participant","honesty_Q","totMturkStudies","totEconStudies","totPsychStudies","age","gender","education","income","Pol.Affil","threat1","threat2","Q1350","Q.B_P.status_1","Q.B_P.status_2","imp","Val","Condition","HH","EX","Att","NFC","ethnicity","group","n_trials","in_samples","out_samples","In.Est","Out.Est"
"442",442,"R_eqynR3wQE5Oavfj",6,"30","20","15",27,0,4,6,1,5,7,6,57,74,"negIngroup","neg",2,3.4,3.4,1,2.94117647058824,0,"dem",8,4,4,54,71
"443",443,"R_eWktFKJwuaE7ySZ",6,"2000","10","250",49,1,3,4,3,1,2,4,51,50,"negOutgroup","neg",1,4.1,3.8,0,2.82352941176471,0,"dem",13,8,5,62,61
"444",444,"R_O8pGsb5dUtTItoJ",6,"16000","8000","4000",40,0,3,3,1,1,3,7,51,51,"posOutgroup","pos",3,4.9,1.7,0,2.35294117647059,0,"dem",4,2,2,71,62
"445",445,"R_OO0rvrEMbzVLA9H",5,"1650","100","200",23,0,4,7,2,3,4,5,65,35,"posIngroup","pos",1,3.5,4.4,1,3.41176470588235,0,"dem",8,5,3,47,63
"446",446,"R_OOrllyd6L3I7vNv",7,"100","20","30",27,1,2,4,1,1,1,5,65,40,"posOutgroup","pos",3,4.1,1.4,0,2.64705882352941,1,"dem",10,5,5,65,40
"447",447,"R_OPRrKDlSPRWlVXr",7,"1200","50","1000",33,0,4,3,3,3,3,5,60,80,"posIngroup","pos",1,4.5,4.5,1,3.64705882352941,0,"dem",4,4,0,65,60
"448",448,"R_OrFPh3VC9QMs5mp",7,"8000","10","50",31,1,2,1,1,1,3,7,30,88,"posIngroup","pos",3,3.4,3.2,0,2.94117647058824,1,"dem",2,1,1,80,60
"449",449,"R_Os2qDbzXdUbkbTj",6,"200","35","5",33,0,2,2,2,3,2,6,40,80,"posIngroup","pos",1,3.4,2.5,0,3.70588235294118,1,"dem",8,4,4,68,65
"450",450,"R_Oy9qlVtfcj9bZS1",6,"3000","800","300",33,0,6,7,3,2,3,2,50,50,"negOutgroup","neg",1,5.3,3.8,0,3.70588235294118,1,"dem",15,8,7,66,73
"451",451,"R_oZCfEcSgNAc2nzr",6,"7750","1000","1000",37,0,4,0,3,4,3,4,40,60,"negIngroup","neg",2,4.5,4.1,1,3.76470588235294,0,"dem",5,3,2,70,80
"452",452,"R_p3hCOxxoyKb53gJ",6,"Over 1,000","I have no idea.","I  have no idea.",43,0,4,0,2,3,4,4,80,30,"negIngroup","neg",3,4.7,3.6,1,3.58823529411765,0,"dem",10,5,5,65,55
"453",453,"R_pF3mVdpd440CJR7",6,"10000","3000","4500",43,0,4,2,2,3,2,4,50,80,"posOutgroup","pos",2,4.9,1.9,0,3.88235294117647,1,"dem",7,4,3,58,68
"454",454,"R_PHbTJAldYhDLAyZ",6,"4000","40","3000",42,0,5,7,3,5,5,2,60,40,"negIngroup","neg",1,3.3,3.5,1,3.82352941176471,0,"dem",10,5,5,58,68
"455",455,"R_PHvIPkohtVQ6HND",7,"1500","30","400",33,1,4,6,2,1,1,6,70,52,"posOutgroup","pos",1,NA,5.5,1,4,0,"dem",20,10,10,60,62
"456",456,"R_piSupwpkXJyREpr",6,"6000","50","100",26,1,4,5,2,3,3,2,55,60,"posIngroup","pos",3,4.4,3.9,1,3.64705882352941,0,"dem",16,7,9,70,64
